Wed Sep  9 01:28:59 AM UTC 2026
flash-cloud-bench-publisher-1 0.77% 34.54MiB / 7.38GiB 805kB / 1.04MB
flash-cloud-bench-simulator-1 4.21% 34.77MiB / 7.38GiB 2.76MB / 3.48MB
flash-cloud-bench-api-1 1.09% 75.13MiB / 7.38GiB 27.9MB / 17.8MB
flash-cloud-bench-consumer-1 0.37% 35.29MiB / 7.38GiB 48.7kB / 90.1kB
flash-cloud-bench-maintenance-1 1.66% 35.63MiB / 7.38GiB 55MB / 198MB
flash-cloud-bench-redis-1 2.71% 51.63MiB / 7.38GiB 189MB / 28.6MB
flash-cloud-bench-pgbouncer-1 1.81% 1.566MiB / 7.38GiB 72.5MB / 72.5MB
flash-cloud-bench-postgres-1 4.68% 68.78MiB / 7.38GiB 15.7MB / 57.2MB
flash-cloud-bench-kafka-1 1.23% 679.8MiB / 7.38GiB 42.8kB / 29.7kB
flash-cloud-bench-prometheus-1 0.40% 29.45MiB / 7.38GiB 493kB / 84kB
Wed Sep  9 01:29:11 AM UTC 2026
flash-cloud-bench-publisher-1 2.15% 34.58MiB / 7.38GiB 938kB / 1.22MB
flash-cloud-bench-simulator-1 3.15% 34.77MiB / 7.38GiB 3.14MB / 3.96MB
flash-cloud-bench-api-1 78.37% 76.07MiB / 7.38GiB 28.5MB / 19.7MB
flash-cloud-bench-consumer-1 4.20% 35.33MiB / 7.38GiB 100kB / 171kB
flash-cloud-bench-maintenance-1 6.72% 35.64MiB / 7.38GiB 55.4MB / 199MB
flash-cloud-bench-redis-1 5.46% 51.32MiB / 7.38GiB 190MB / 28.9MB
flash-cloud-bench-pgbouncer-1 5.62% 1.594MiB / 7.38GiB 74.8MB / 74.7MB
flash-cloud-bench-postgres-1 13.52% 74.29MiB / 7.38GiB 17.4MB / 58.2MB
flash-cloud-bench-kafka-1 54.06% 714.9MiB / 7.38GiB 78.3kB / 58.4kB
flash-cloud-bench-prometheus-1 0.00% 29.46MiB / 7.38GiB 553kB / 93.5kB
Wed Sep  9 01:29:23 AM UTC 2026
flash-cloud-bench-publisher-1 2.85% 34.67MiB / 7.38GiB 1.21MB / 1.61MB
flash-cloud-bench-simulator-1 3.20% 34.77MiB / 7.38GiB 3.51MB / 4.43MB
flash-cloud-bench-api-1 93.62% 78.52MiB / 7.38GiB 46.5MB / 35.1MB
flash-cloud-bench-consumer-1 3.08% 35.48MiB / 7.38GiB 414kB / 630kB
flash-cloud-bench-maintenance-1 6.36% 35.68MiB / 7.38GiB 66.8MB / 239MB
flash-cloud-bench-redis-1 8.43% 51.75MiB / 7.38GiB 232MB / 47.6MB
flash-cloud-bench-pgbouncer-1 5.29% 1.566MiB / 7.38GiB 91.7MB / 91.6MB
flash-cloud-bench-postgres-1 12.71% 89.69MiB / 7.38GiB 22.2MB / 70.5MB
flash-cloud-bench-kafka-1 161.48% 752.9MiB / 7.38GiB 288kB / 239kB
flash-cloud-bench-prometheus-1 0.44% 29.52MiB / 7.38GiB 683kB / 108kB
Wed Sep  9 01:29:35 AM UTC 2026
flash-cloud-bench-publisher-1 2.26% 34.7MiB / 7.38GiB 1.46MB / 1.96MB
flash-cloud-bench-simulator-1 3.23% 34.77MiB / 7.38GiB 3.86MB / 4.87MB
flash-cloud-bench-api-1 61.61% 78.84MiB / 7.38GiB 83MB / 61.2MB
flash-cloud-bench-consumer-1 2.84% 35.53MiB / 7.38GiB 701kB / 1.05MB
flash-cloud-bench-maintenance-1 28.79% 35.7MiB / 7.38GiB 73.1MB / 261MB
flash-cloud-bench-redis-1 24.63% 52.01MiB / 7.38GiB 257MB / 82.6MB
flash-cloud-bench-pgbouncer-1 9.84% 1.578MiB / 7.38GiB 103MB / 103MB
flash-cloud-bench-postgres-1 22.43% 98.93MiB / 7.38GiB 26.3MB / 77.9MB
flash-cloud-bench-kafka-1 165.59% 782MiB / 7.38GiB 500kB / 419kB
flash-cloud-bench-prometheus-1 0.00% 29.52MiB / 7.38GiB 769kB / 117kB
Wed Sep  9 01:29:47 AM UTC 2026
flash-cloud-bench-publisher-1 2.88% 34.73MiB / 7.38GiB 1.75MB / 2.39MB
flash-cloud-bench-simulator-1 3.61% 34.77MiB / 7.38GiB 4.26MB / 5.38MB
flash-cloud-bench-api-1 73.29% 80.34MiB / 7.38GiB 132MB / 94.5MB
flash-cloud-bench-consumer-1 5.70% 35.56MiB / 7.38GiB 1.04MB / 1.56MB
flash-cloud-bench-maintenance-1 6.59% 35.7MiB / 7.38GiB 79.2MB / 281MB
flash-cloud-bench-redis-1 11.01% 51.98MiB / 7.38GiB 281MB / 126MB
flash-cloud-bench-pgbouncer-1 5.24% 1.574MiB / 7.38GiB 114MB / 114MB
flash-cloud-bench-postgres-1 12.80% 103.1MiB / 7.38GiB 30.4MB / 85MB
flash-cloud-bench-kafka-1 51.20% 725.6MiB / 7.38GiB 708kB / 596kB
flash-cloud-bench-prometheus-1 0.23% 29.56MiB / 7.38GiB 890kB / 128kB
Wed Sep  9 01:29:59 AM UTC 2026
flash-cloud-bench-publisher-1 2.66% 34.75MiB / 7.38GiB 2.03MB / 2.78MB
flash-cloud-bench-simulator-1 3.21% 34.77MiB / 7.38GiB 4.64MB / 5.86MB
flash-cloud-bench-api-1 98.27% 80.46MiB / 7.38GiB 180MB / 127MB
flash-cloud-bench-consumer-1 10.19% 35.57MiB / 7.38GiB 1.35MB / 2.01MB
flash-cloud-bench-maintenance-1 17.06% 35.7MiB / 7.38GiB 90.7MB / 322MB
flash-cloud-bench-redis-1 16.03% 52.36MiB / 7.38GiB 323MB / 172MB
flash-cloud-bench-pgbouncer-1 7.62% 1.609MiB / 7.38GiB 131MB / 131MB
flash-cloud-bench-postgres-1 18.82% 106.1MiB / 7.38GiB 35.3MB / 97.5MB
flash-cloud-bench-kafka-1 153.82% 808MiB / 7.38GiB 899kB / 762kB
flash-cloud-bench-prometheus-1 0.00% 29.64MiB / 7.38GiB 986kB / 142kB
Wed Sep  9 01:30:11 AM UTC 2026
flash-cloud-bench-publisher-1 2.75% 34.75MiB / 7.38GiB 2.3MB / 3.17MB
flash-cloud-bench-simulator-1 3.62% 34.77MiB / 7.38GiB 5.01MB / 6.33MB
flash-cloud-bench-api-1 72.35% 80.74MiB / 7.38GiB 232MB / 162MB
flash-cloud-bench-consumer-1 10.99% 35.57MiB / 7.38GiB 1.67MB / 2.48MB
flash-cloud-bench-maintenance-1 5.99% 35.7MiB / 7.38GiB 91.6MB / 323MB
flash-cloud-bench-redis-1 10.58% 52.02MiB / 7.38GiB 329MB / 222MB
flash-cloud-bench-pgbouncer-1 5.30% 1.578MiB / 7.38GiB 136MB / 136MB
flash-cloud-bench-postgres-1 12.94% 108.2MiB / 7.38GiB 38.7MB / 99.6MB
flash-cloud-bench-kafka-1 5.15% 750.4MiB / 7.38GiB 1.13MB / 956kB
flash-cloud-bench-prometheus-1 0.00% 29.65MiB / 7.38GiB 1.07MB / 151kB
Wed Sep  9 01:30:24 AM UTC 2026
flash-cloud-bench-publisher-1 2.23% 34.75MiB / 7.38GiB 2.57MB / 3.55MB
flash-cloud-bench-simulator-1 4.05% 34.77MiB / 7.38GiB 5.36MB / 6.77MB
flash-cloud-bench-api-1 64.41% 82.31MiB / 7.38GiB 284MB / 196MB
flash-cloud-bench-consumer-1 4.48% 35.59MiB / 7.38GiB 1.98MB / 2.94MB
flash-cloud-bench-maintenance-1 5.81% 35.72MiB / 7.38GiB 103MB / 364MB
flash-cloud-bench-redis-1 9.28% 52.11MiB / 7.38GiB 371MB / 272MB
flash-cloud-bench-pgbouncer-1 4.77% 1.828MiB / 7.38GiB 153MB / 153MB
flash-cloud-bench-postgres-1 12.28% 109.8MiB / 7.38GiB 43.7MB / 112MB
flash-cloud-bench-kafka-1 10.93% 762.3MiB / 7.38GiB 1.33MB / 1.13MB
flash-cloud-bench-prometheus-1 0.09% 29.73MiB / 7.38GiB 1.2MB / 166kB
Wed Sep  9 01:30:36 AM UTC 2026
flash-cloud-bench-publisher-1 2.17% 34.75MiB / 7.38GiB 2.84MB / 3.94MB
flash-cloud-bench-simulator-1 3.12% 34.79MiB / 7.38GiB 5.77MB / 7.28MB
flash-cloud-bench-api-1 67.92% 82.71MiB / 7.38GiB 334MB / 230MB
flash-cloud-bench-consumer-1 10.76% 35.61MiB / 7.38GiB 2.3MB / 3.4MB
flash-cloud-bench-maintenance-1 37.91% 35.74MiB / 7.38GiB 110MB / 388MB
flash-cloud-bench-redis-1 33.09% 52.4MiB / 7.38GiB 398MB / 319MB
flash-cloud-bench-pgbouncer-1 10.69% 1.594MiB / 7.38GiB 165MB / 165MB
flash-cloud-bench-postgres-1 25.81% 111MiB / 7.38GiB 47.9MB / 120MB
flash-cloud-bench-kafka-1 2.39% 773.9MiB / 7.38GiB 1.54MB / 1.31MB
flash-cloud-bench-prometheus-1 0.00% 29.74MiB / 7.38GiB 1.29MB / 175kB
Wed Sep  9 01:30:48 AM UTC 2026
flash-cloud-bench-publisher-1 2.89% 34.75MiB / 7.38GiB 3.12MB / 4.34MB
flash-cloud-bench-simulator-1 3.93% 34.77MiB / 7.38GiB 6.14MB / 7.76MB
flash-cloud-bench-api-1 73.44% 83.37MiB / 7.38GiB 384MB / 263MB
flash-cloud-bench-consumer-1 10.46% 35.62MiB / 7.38GiB 2.61MB / 3.86MB
flash-cloud-bench-maintenance-1 7.10% 35.73MiB / 7.38GiB 116MB / 406MB
flash-cloud-bench-redis-1 10.92% 52.07MiB / 7.38GiB 420MB / 367MB
flash-cloud-bench-pgbouncer-1 5.59% 1.621MiB / 7.38GiB 176MB / 175MB
flash-cloud-bench-postgres-1 20.20% 112.1MiB / 7.38GiB 52MB / 127MB
flash-cloud-bench-kafka-1 5.06% 786.2MiB / 7.38GiB 1.75MB / 1.49MB
flash-cloud-bench-prometheus-1 0.00% 29.78MiB / 7.38GiB 1.41MB / 186kB
Wed Sep  9 01:31:00 AM UTC 2026
flash-cloud-bench-publisher-1 2.56% 34.76MiB / 7.38GiB 3.39MB / 4.72MB
flash-cloud-bench-simulator-1 3.68% 34.77MiB / 7.38GiB 6.52MB / 8.23MB
flash-cloud-bench-api-1 70.11% 84.36MiB / 7.38GiB 431MB / 295MB
flash-cloud-bench-consumer-1 10.29% 35.65MiB / 7.38GiB 2.93MB / 4.32MB
flash-cloud-bench-maintenance-1 9.58% 35.74MiB / 7.38GiB 127MB / 446MB
flash-cloud-bench-redis-1 11.38% 53.11MiB / 7.38GiB 462MB / 412MB
flash-cloud-bench-pgbouncer-1 6.25% 1.582MiB / 7.38GiB 193MB / 192MB
flash-cloud-bench-postgres-1 42.65% 115.5MiB / 7.38GiB 56.9MB / 139MB
flash-cloud-bench-kafka-1 2.41% 797.4MiB / 7.38GiB 1.96MB / 1.67MB
flash-cloud-bench-prometheus-1 0.02% 29.78MiB / 7.38GiB 1.51MB / 199kB
Wed Sep  9 01:31:12 AM UTC 2026
flash-cloud-bench-publisher-1 4.95% 34.77MiB / 7.38GiB 3.7MB / 5.16MB
flash-cloud-bench-simulator-1 3.05% 34.77MiB / 7.38GiB 6.89MB / 8.7MB
flash-cloud-bench-api-1 73.79% 85.25MiB / 7.38GiB 482MB / 330MB
flash-cloud-bench-consumer-1 6.56% 35.66MiB / 7.38GiB 3.3MB / 4.88MB
flash-cloud-bench-maintenance-1 15.91% 35.74MiB / 7.38GiB 129MB / 450MB
flash-cloud-bench-redis-1 14.09% 52.29MiB / 7.38GiB 469MB / 461MB
flash-cloud-bench-pgbouncer-1 8.26% 1.578MiB / 7.38GiB 199MB / 198MB
flash-cloud-bench-postgres-1 80.30% 119.5MiB / 7.38GiB 60.6MB / 142MB
flash-cloud-bench-kafka-1 6.27% 811MiB / 7.38GiB 2.21MB / 1.89MB
flash-cloud-bench-prometheus-1 0.22% 29.77MiB / 7.38GiB 1.63MB / 210kB
Wed Sep  9 01:31:24 AM UTC 2026
flash-cloud-bench-publisher-1 4.42% 34.8MiB / 7.38GiB 4.13MB / 5.8MB
flash-cloud-bench-simulator-1 3.06% 34.77MiB / 7.38GiB 7.27MB / 9.18MB
flash-cloud-bench-api-1 102.97% 85.73MiB / 7.38GiB 535MB / 365MB
