procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  0      0 3965280 102236 1942568    0    0    33  1061 9047   36 15  4 81  1  0  0 2026-09-09 09:37:18
 4  1      0 3972684 102236 1944300    0    0     0  2789 20737 35838 48  8 42  2  0  0 2026-09-09 09:37:23
 8  0      0 3904948 102236 1945884    0    0     0  2573 19076 34339 56  9 34  2  0  0 2026-09-09 09:37:28
 3  1      0 3960536 102236 1947500    0    0     0  9422 19986 35271 53  9 37  2  0  0 2026-09-09 09:37:33
 6  0      0 3969452 102236 1949000    0    0     0  2586 20926 36168 48  8 42  2  0  0 2026-09-09 09:37:38
 2  0      0 3943564 102236 1950488    0    0     0  2057 18959 34596 57  9 33  1  0  0 2026-09-09 09:37:43
 2  0      0 3967060 102236 1951900    0    0     0  2090 20408 35232 49  8 41  2  0  0 2026-09-09 09:37:48
 1  1      0 3951496 102236 1953584    0    0     0  2952 19761 36020 57 10 32  1  0  0 2026-09-09 09:37:53
 1  0      0 3959804 102236 1954996    0    0     0  1970 20304 35128 50  8 41  2  0  0 2026-09-09 09:37:58
 5  0      0 3916196 102236 1958628    0    0     0  1954 19192 34538 55  9 35  2  0  0 2026-09-09 09:38:03
 3  1      0 3949668 102236 1960164    0    0     0  1967 19786 35201 55  8 36  1  0  0 2026-09-09 09:38:08
 1  0      0 3944376 102236 1961700    0    0     0  2894 20916 36195 48  8 42  2  0  0 2026-09-09 09:38:13
 2  0      0 3938196 102236 1963240    0    0     0  1754 19083 34826 57 10 32  1  0  0 2026-09-09 09:38:18
 9  0      0 3935692 102236 1964728    0    0     0  1822 21129 36079 47  8 43  2  0  0 2026-09-09 09:38:23
 3  0      0 3937812 102236 1966444    0    0     0  1890 19320 35022 58  9 31  1  0  0 2026-09-09 09:38:28
 4  0      0 3933228 102236 1967896    0    0     0  8384 20634 35860 51  9 39  2  0  0 2026-09-09 09:38:33
 5  0      0 3926552 102236 1969444    0    0     0  2063 20631 35922 50  9 39  2  0  0 2026-09-09 09:38:38
 2  0      0 3922364 102236 1971112    0    0    20  1689 19173 35350 60  9 30  1  0  0 2026-09-09 09:38:43
 2  0      0 3931644 102236 1972732    0    0     0  1923 20770 35868 49  8 42  2  0  0 2026-09-09 09:38:48
 2  0      0 3913756 102236 1974292    0    0     0  2521 19319 35277 57  9 32  1  0  0 2026-09-09 09:38:53
 2  0      0 3927384 102236 1975792    0    0     0  1931 20585 35819 50  8 41  1  0  0 2026-09-09 09:38:58
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
11  0      0 3866120 102236 1977436    0    0     0  1843 19171 34438 56  9 33  1  0  0 2026-09-09 09:39:03
 4  0      0 3914080 102236 1978944    0    0     0  2043 21108 37053 50  8 41  2  0  0 2026-09-09 09:39:08
 2  0      0 3925700 102236 1980500    0    0     0  1864 20959 36113 49  8 42  2  0  0 2026-09-09 09:39:13
 1  0      0 3917184 102236 1982056    0    0     0  2681 18996 34932 58  9 32  1  0  0 2026-09-09 09:39:18
 5  0      0 3917872 102236 1983608    0    0     0  1913 20914 36225 49  8 41  2  0  0 2026-09-09 09:39:23
 6  0      0 3903380 102236 1985216    0    0     0  1649 18613 33939 58  9 31  1  0  0 2026-09-09 09:39:28
 2  0      0 3918964 102236 1986696    0    0     0  7680 19968 35395 51  8 39  2  0  0 2026-09-09 09:39:33
10  0      0 3867944 102236 1988172    0    0     0  2606 20590 36125 52  9 38  1  0  0 2026-09-09 09:39:38
 0  1      0 3912112 102236 1989748    0    0     0  1867 20628 36567 53  8 37  1  0  0 2026-09-09 09:39:43
 5  0      0 3911452 102236 1991276    0    0     0  1794 20458 35118 50  8 41  2  0  0 2026-09-09 09:39:48
 1  0      0 3902376 102236 1992724    0    0     1  1810 19877 36212 57 10 32  1  0  0 2026-09-09 09:39:53
 2  0      0 3900780 102236 1994304    0    0     0  2940 20606 35954 49  8 41  1  0  0 2026-09-09 09:39:58
 2  0      0 3906356 102236 1998012    0    0     0  1653 17115 31711 63  9 27  1  0  0 2026-09-09 09:40:03
 2  1      0 3886836 102236 1999580    0    0     0  1770 21056 36974 49  8 41  2  0  0 2026-09-09 09:40:08
 6  0      0 3874668 102236 2001172    0    0     0  1846 19787 34747 50  9 40  1  0  0 2026-09-09 09:40:13
 1  0      0 3886896 102236 2002692    0    0     0  2481 19460 35223 57  9 33  1  0  0 2026-09-09 09:40:18
 3  0      0 3898552 102236 2004224    0    0     0  1886 20814 36166 49  8 42  2  0  0 2026-09-09 09:40:23
 2  0      0 3894660 102236 2005680    0    0     0  1654 18665 33936 58  9 31  1  0  0 2026-09-09 09:40:28
 4  0      0 3889692 102236 2007252    0    0     0  7847 20528 36129 50  8 40  2  0  0 2026-09-09 09:40:33
 2  0      0 3829388 102236 2008796    0    0     0  2450 18920 34091 58  9 32  1  0  0 2026-09-09 09:40:38
 2  0      0 3878736 102236 2010360    0    0     0  1814 21073 36804 49  8 42  2  0  0 2026-09-09 09:40:43
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 4  1      0 3880700 102236 2011932    0    0     0  1787 20794 35881 49  8 41  2  0  0 2026-09-09 09:40:48
 2  0      0 3879332 102236 2013612    0    0     0  1690 19160 34385 56  9 34  1  0  0 2026-09-09 09:40:53
 2  0      0 3888020 102236 2015236    0    0     0  1941 20586 36278 49  8 42  2  0  0 2026-09-09 09:40:58
 4  0      0 3897532 102236 2016764    0    0     0  1846 19062 34452 56  9 33  1  0  0 2026-09-09 09:41:03
 2  0      0 3875912 102236 2018200    0    0     0  1802 20772 36435 50  8 40  2  0  0 2026-09-09 09:41:08
 4  0      0 3820748 102236 2019836    0    0     0  3054 19092 33925 56  9 34  1  0  0 2026-09-09 09:41:13
 2  0      0 3873980 102236 2021220    0    0     0  1859 20937 37005 50  8 40  1  0  0 2026-09-09 09:41:18
 4  0      0 3879356 102236 2022776    0    0     0  1742 20631 35757 50  8 41  2  0  0 2026-09-09 09:41:23
 2  0      0 3867808 102236 2024464    0    0     0  1716 18745 33600 57  9 33  1  0  0 2026-09-09 09:41:28
 2  0      0 3880116 102236 2025932    0    0     0  1893 20839 36605 50  8 41  1  0  0 2026-09-09 09:41:33
 6  0      0 3870772 102236 2027384    0    0     0  8667 18533 33856 59  9 30  1  0  0 2026-09-09 09:41:38
 4  0      0 3850624 102236 2028756    0    0     0  2030 20472 35611 49  8 42  1  0  0 2026-09-09 09:41:43
12  0      0 3822828 102236 2030180    0    0     0  1891 20062 36300 55  9 34  1  0  0 2026-09-09 09:41:48
 3  0      0 3867808 102236 2031436    0    0     0  1998 19925 34751 52  8 38  2  0  0 2026-09-09 09:41:53
 6  0      0 3857252 102236 2032748    0    0     0  1577 20641 36066 50  8 40  2  0  0 2026-09-09 09:41:58
 2  0      0 3873432 102236 2034208    0    0     0  1594 18614 34562 62  9 27  1  0  0 2026-09-09 09:42:03
 6  0      0 3858496 102236 2035552    0    0     0  1786 20929 36083 48  7 43  2  0  0 2026-09-09 09:42:08
 2  0      0 3871100 102236 2036932    0    0     0  2848 19582 35204 57  9 33  1  0  0 2026-09-09 09:42:13
 1  0      0 3851924 102236 2038152    0    0     0  1514 20077 35300 50  8 41  1  0  0 2026-09-09 09:42:18
 4  0      0 3839744 102236 2039488    0    0     0  2851 20624 36035 49  9 40  2  0  0 2026-09-09 09:42:23
 2  1      0 3862468 102236 2040924    0    0     0  2637 19380 34681 56  9 34  1  0  0 2026-09-09 09:42:28
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  0      0 3854888 102236 2042276    0    0     0  2426 20869 36316 50  8 40  1  0  0 2026-09-09 09:42:33
 3  0      0 3820296 102236 2043720    0    0     0  9282 18681 34014 58 10 31  1  0  0 2026-09-09 09:42:38
 1  0      0 3842744 102236 2045088    0    0     0  2416 20639 36201 49  8 41  2  0  0 2026-09-09 09:42:43
 2  0      0 3788576 102236 2046432    0    0     0  2017 18965 34189 57  9 32  1  0  0 2026-09-09 09:42:48
 1  0      0 3855252 102236 2047640    0    0     0  2179 20855 36039 49  8 42  2  0  0 2026-09-09 09:42:53
 6  0      0 3847316 102236 2049040    0    0     0  2094 20984 36735 49  8 41  2  0  0 2026-09-09 09:42:58
 4  0      0 3846588 102236 2050388    0    0     0  5617 18660 33285 58  9 31  1  0  0 2026-09-09 09:43:03
 2  0      0 3843132 102236 2051696    0    0     0  2251 20676 36246 48  8 42  2  0  0 2026-09-09 09:43:08
 3  0      0 3851836 102236 2052984    0    0     0  3834 19232 34582 57  9 33  1  0  0 2026-09-09 09:43:13
 6  0      0 3835860 102236 2054352    0    0     0  2416 20423 35310 49  8 41  1  0  0 2026-09-09 09:43:18
 3  0      0 3788780 102236 2055672    0    0     0  2665 20108 36738 55  9 34  1  0  0 2026-09-09 09:43:23
 3  0      0 3839484 102236 2056928    0    0     0  2014 20642 35687 49  8 42  2  0  0 2026-09-09 09:43:28
 2  0      0 3844144 102236 2058232    0    0     0  1828 20380 35473 49  8 41  1  0  0 2026-09-09 09:43:33
 2  0      0 3842528 102236 2059588    0    0     0  8241 19325 35065 59 10 30  1  0  0 2026-09-09 09:43:38
 3  0      0 3835068 102236 2060776    0    0     0  1892 20210 35099 49  8 42  2  0  0 2026-09-09 09:43:43
 2  1      0 3831332 102236 2062248    0    0     0  1886 19216 34585 57  9 32  1  0  0 2026-09-09 09:43:48
 4  0      0 3845376 102236 2063588    0    0     0  1869 20985 36161 49  8 42  2  0  0 2026-09-09 09:43:53
 5  0      0 3788212 102236 2064988    0    0    14  1797 20222 36466 54  9 35  1  0  0 2026-09-09 09:43:58
 2  0      0 3840856 102236 2066236    0    0     0  1845 18649 33245 56  8 34  1  0  0 2026-09-09 09:44:03
 2  0      0 3821208 102236 2067548    0    0     0  3090 21084 36647 48  8 42  2  0  0 2026-09-09 09:44:08
 4  0      0 3832072 102236 2068940    0    0     0  1927 19051 34431 56  9 33  1  0  0 2026-09-09 09:44:13
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 5  0      0 3831844 102236 2070244    0    0     0  1768 20277 35187 50  8 41  2  0  0 2026-09-09 09:44:18
 2  0      0 3802188 102236 2071600    0    0     0  1826 19892 36299 58  9 31  1  0  0 2026-09-09 09:44:23
 4  1      0 3824348 102236 2072992    0    0     0  1931 20372 35183 49  8 41  2  0  0 2026-09-09 09:44:28
 8  1      0 3776328 102236 2074168    0    0     0  1810 20462 36425 51  9 38  1  0  0 2026-09-09 09:44:33
 6  0      0 3820444 102236 2075724    0    0     0  7543 19706 34954 55  8 35  1  0  0 2026-09-09 09:44:38
 4  0      0 3815132 102236 2076960    0    0     0  2875 20406 35159 50  8 41  1  0  0 2026-09-09 09:44:43
 2  0      0 3832888 102236 2078392    0    0     0  1882 19346 35518 58  9 32  1  0  0 2026-09-09 09:44:48
 3  0      0 3821472 102236 2079772    0    0     0  1845 20741 35608 49  8 42  2  0  0 2026-09-09 09:44:53
 2  0      0 3810980 102236 2081076    0    0     0  1766 18320 33490 58  9 32  1  0  0 2026-09-09 09:44:58
 3  0      0 3782852 102236 2115188    0    0     0 14461 21006 35975 48  8 42  2  0  0 2026-09-09 09:45:03
 6  0      0 3778600 102236 2116432    0    0     0  1881 20887 36799 49  9 41  2  0  0 2026-09-09 09:45:08
 1  0      0 3790524 102236 2117724    0    0     0  1755 19111 34171 58  8 33  1  0  0 2026-09-09 09:45:13
 2  0      0 3788744 102236 2119068    0    0     0  2443 20403 35461 49  8 42  2  0  0 2026-09-09 09:45:18
 2  0      0 3756412 102236 2120384    0    0     0  1853 19342 35499 57  9 33  1  0  0 2026-09-09 09:45:23
 1  0      0 3781488 102236 2121588    0    0     0  1901 20259 34820 49  7 42  1  0  0 2026-09-09 09:45:28
 5  0      0 3715068 102236 2123028    0    0     0  1855 19582 35729 57  9 32  1  0  0 2026-09-09 09:45:33
 8  0      0 3778516 102236 2124292    0    0     0  7595 20142 35485 51  8 39  2  0  0 2026-09-09 09:45:38
 3  0      0 3784784 102236 2125560    0    0     0  2915 20651 35708 49  8 41  2  0  0 2026-09-09 09:45:43
 4  0      0 3781336 102236 2126788    0    0     0  1694 18963 34614 57  9 32  1  0  0 2026-09-09 09:45:48
 9  0      0 3770168 102236 2128092    0    0     0  2750 20787 35492 47  8 44  2  0  0 2026-09-09 09:45:53
 4  0      0 3757628 102236 2129456    0    0     0  2070 19981 36295 58  9 32  1  0  0 2026-09-09 09:45:58
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 5  0      0 3760076 102236 2147584    0    0     0  6448 19205 34063 55  8 35  2  0  0 2026-09-09 09:46:03
 6  0      0 3713780 102236 2148932    0    0     0  1762 20331 35799 53  9 37  2  0  0 2026-09-09 09:46:08
 2  0      0 3745496 102236 2150176    0    0     0  1812 20329 36303 53  8 37  2  0  0 2026-09-09 09:46:13
 4  0      0 3753324 102236 2151436    0    0     0  1848 20230 34953 49  8 42  2  0  0 2026-09-09 09:46:18
 1  0      0 3746192 102236 2152756    0    0     0  2563 19467 35665 57  9 32  1  0  0 2026-09-09 09:46:23
 2  0      0 3746624 102236 2154020    0    0     0  1792 20571 36091 50  9 40  2  0  0 2026-09-09 09:46:28
 2  0      0 3720592 102236 2155528    0    0     0  1814 18461 33438 57  9 33  1  0  0 2026-09-09 09:46:33
 1  0      0 3739564 102236 2156984    0    0     0  1842 20914 36351 48  8 42  2  0  0 2026-09-09 09:46:38
 7  0      0 3708300 102236 2158228    0    0     0  8448 19814 35344 53  9 37  2  0  0 2026-09-09 09:46:43
 2  0      0 3744192 102236 2159640    0    0     0  1710 19323 34248 55  8 35  1  0  0 2026-09-09 09:46:48
 4  0      0 3747048 102236 2161192    0    0     0  1850 20557 35622 49  8 41  2  0  0 2026-09-09 09:46:53
 6  1      0 3722068 102236 2162580    0    0     0  1720 19852 36401 58  9 31  1  0  0 2026-09-09 09:46:58
 3  0      0 3723212 102236 2163868    0    0     0  1620 20341 34966 49  8 42  2  0  0 2026-09-09 09:47:03
 5  0      0 3684936 102236 2165356    0    0     0  1716 19270 34718 56  9 33  1  0  0 2026-09-09 09:47:08
 2  0      0 3727380 102236 2166660    0    0     0  2843 21152 36841 47  8 43  2  0  0 2026-09-09 09:47:13
