procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  0      0 3703336 103812 2223648    0    0    30  1117 9262   37 16  4 80  1  0  0 2026-09-09 10:19:06
 3  0      0 3661244 103812 2223788    0    0     0   994 11983 18982 21  5 72  1  0  0 2026-09-09 10:19:11
 0  0      0 3702284 103812 2223752    0    0     0   906 10526 16513 16  4 79  1  0  0 2026-09-09 10:19:16
 0  0      0 3702044 103812 2225836    0    0     0   555 9131 15359  9  3 88  0  0  0 2026-09-09 10:19:21
 1  0      0 3676096 103816 2231228    0    0     0  1788 19643 32900 31  8 60  1  0  0 2026-09-09 10:19:26
 2  0      0 3671840 103816 2236496    0    0     0  2330 23556 41017 34  9 56  2  0  0 2026-09-09 10:19:31
 2  0      0 3656500 103816 2241068    0    0     0  2626 21835 39220 43 10 45  2  0  0 2026-09-09 10:19:36
 1  0      0 3672460 103816 2245104    0    0     0  1376 20725 33695 24  6 68  1  0  0 2026-09-09 10:19:41
 5  0      0 3583392 103816 2248656    0    0     0  1273 20299 34002 35  8 56  1  0  0 2026-09-09 10:19:46
 3  0      0 3652500 103816 2251932    0    0     0  2698 23311 40164 35  9 54  2  0  0 2026-09-09 10:19:51
 2  0      0 3654220 103816 2255116    0    0     0  2463 24007 41509 36  9 52  2  0  0 2026-09-09 10:19:56
 2  1      0 3659808 103816 2258024    0    0     0  6994 20265 33898 36  8 54  1  0  0 2026-09-09 10:20:01
 0  0      0 3634680 103816 2261120    0    0     0  1161 21468 35037 27  7 66  1  0  0 2026-09-09 10:20:06
 5  0      0 3652336 103816 2263752    0    0     0  1809 21969 39239 44 10 44  2  0  0 2026-09-09 10:20:11
 1  0      0 3638952 103816 2266504    0    0     0  2044 24357 42389 38  9 50  2  0  0 2026-09-09 10:20:16
 2  0      0 3570008 103816 2269064    0    0     0  2410 20376 34226 36  8 55  1  0  0 2026-09-09 10:20:21
 1  0      0 3649832 103816 2271308    0    0     0  1162 20975 33801 27  7 66  1  0  0 2026-09-09 10:20:26
 2  0      0 3610248 103816 2274344    0    0    75  1962 21974 38686 43  9 46  2  0  0 2026-09-09 10:20:31
 0  0      0 3615200 103816 2276464    0    0     0  2002 21828 40029 46 11 41  2  0  0 2026-09-09 10:20:36
 0  0      0 3622896 103816 2278540    0    0     0  1067 20999 33785 25  7 67  1  0  0 2026-09-09 10:20:41
 0  0      0 3605316 103816 2280640    0    0     0  1049 20547 34705 36  8 55  1  0  0 2026-09-09 10:20:46
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  0      0 3596424 103816 2282568    0    0     0  2885 23278 39573 34  8 55  2  0  0 2026-09-09 10:20:51
 1  0      0 3534124 103816 2284576    0    0     0  2099 23180 41985 49 11 38  2  0  0 2026-09-09 10:20:56
 0  0      0 3581532 103816 2286332    0    0     0  6905 20598 33821 27  7 65  1  0  0 2026-09-09 10:21:01
 5  0      0 3602928 103816 2288120    0    0     0  1022 21117 34254 26  6 67  1  0  0 2026-09-09 10:21:06
 2  0      0 3578356 103816 2289944    0    0     0  1750 22570 39723 43 10 45  2  0  0 2026-09-09 10:21:11
