relname,seq_scan,idx_scan,n_tup_ins,n_tup_upd,n_tup_del
bookings,2,0,0,0,0
consumer_inbox,1,396528,396528,0,0
dead_letters,7,0,0,0,0
event_reconciliation,47246,2028408,801,1275676,0
event_seats,252532,1623251,240300,396528,0
events,29621,2454164,801,0,0
holds,175,1762511,198264,198264,0
idempotency_records,31,396528,198264,198264,0
order_items,7,12,198264,0,0
orders,29376,1235624,198264,198264,0
outbox_events,24,1280021,396528,793056,0
payment_attempts,602551,0,0,0,0
payment_callbacks,1,0,0,0,0
refund_requests,1,0,0,0,0
schema_migrations,1,35,5,0,0
seat_refresh_requests,327760,1266987,801,878941,0
tickets,2,0,0,0,0
