relname,seq_scan,idx_scan,n_tup_ins,n_tup_upd,n_tup_del
bookings,2,0,0,0,0
consumer_inbox,1,683806,683806,0,0
dead_letters,10,0,0,0,0
event_reconciliation,67674,2981589,801,1860162,0
event_seats,252532,2917957,240300,683806,0
events,43145,3646593,801,0,0
holds,190,3029880,341903,341903,0
idempotency_records,46,683806,341903,341903,0
order_items,10,18,341903,0,0
orders,29391,2126653,341903,341903,0
outbox_events,24,2122274,683806,1367612,0
payment_attempts,879462,0,0,0,0
payment_callbacks,1,0,0,0,0
refund_requests,1,0,0,0,0
schema_migrations,1,35,5,0,0
seat_refresh_requests,833588,2337712,801,1738977,0
tickets,2,0,0,0,0
