Tue Sep  8 04:55:28 PM UTC 2026
flash-cloud-bench-api-1 71.17% 88.79MiB / 7.38GiB 267MB / 187MB
flash-cloud-bench-redis-1 10.83% 63.9MiB / 7.38GiB 361MB / 256MB
flash-cloud-bench-consumer-1 24.32% 34.77MiB / 7.38GiB 4.98MB / 7.41MB
flash-cloud-bench-publisher-1 2.99% 34.88MiB / 7.38GiB 5MB / 7.18MB
flash-cloud-bench-simulator-1 3.74% 35.61MiB / 7.38GiB 6.9MB / 8.7MB
flash-cloud-bench-maintenance-1 5.91% 34.79MiB / 7.38GiB 106MB / 361MB
flash-cloud-bench-pgbouncer-1 5.11% 2.891MiB / 7.38GiB 175MB / 174MB
flash-cloud-bench-postgres-1 18.02% 142.7MiB / 7.38GiB 57.4MB / 120MB
flash-cloud-bench-kafka-1 3.97% 615.2MiB / 7.38GiB 3.41MB / 2.86MB
flash-cloud-bench-prometheus-1 0.00% 92.31MiB / 7.38GiB 1.29MB / 206kB
Tue Sep  8 04:55:40 PM UTC 2026
flash-cloud-bench-api-1 97.00% 89.07MiB / 7.38GiB 317MB / 220MB
flash-cloud-bench-redis-1 28.34% 64.16MiB / 7.38GiB 383MB / 303MB
flash-cloud-bench-consumer-1 3.09% 34.77MiB / 7.38GiB 5.29MB / 7.86MB
flash-cloud-bench-publisher-1 2.64% 34.88MiB / 7.38GiB 5.27MB / 7.56MB
flash-cloud-bench-simulator-1 3.03% 35.61MiB / 7.38GiB 7.27MB / 9.17MB
flash-cloud-bench-maintenance-1 32.48% 34.79MiB / 7.38GiB 111MB / 380MB
flash-cloud-bench-pgbouncer-1 10.26% 2.891MiB / 7.38GiB 185MB / 185MB
flash-cloud-bench-postgres-1 29.90% 143MiB / 7.38GiB 61.5MB / 126MB
flash-cloud-bench-kafka-1 2.54% 615.6MiB / 7.38GiB 3.62MB / 3.04MB
flash-cloud-bench-prometheus-1 0.01% 92.31MiB / 7.38GiB 1.37MB / 219kB
Tue Sep  8 04:55:52 PM UTC 2026
flash-cloud-bench-api-1 71.64% 91.66MiB / 7.38GiB 368MB / 255MB
flash-cloud-bench-redis-1 10.58% 64.12MiB / 7.38GiB 413MB / 352MB
flash-cloud-bench-consumer-1 2.89% 34.77MiB / 7.38GiB 5.61MB / 8.33MB
flash-cloud-bench-publisher-1 2.36% 34.88MiB / 7.38GiB 5.55MB / 7.95MB
flash-cloud-bench-simulator-1 3.69% 35.61MiB / 7.38GiB 7.62MB / 9.61MB
flash-cloud-bench-maintenance-1 6.57% 34.79MiB / 7.38GiB 119MB / 407MB
flash-cloud-bench-pgbouncer-1 5.12% 2.895MiB / 7.38GiB 198MB / 198MB
flash-cloud-bench-postgres-1 17.95% 143.4MiB / 7.38GiB 65.9MB / 135MB
flash-cloud-bench-kafka-1 1.92% 616MiB / 7.38GiB 3.83MB / 3.22MB
flash-cloud-bench-prometheus-1 0.00% 91.51MiB / 7.38GiB 1.46MB / 230kB
Tue Sep  8 04:56:04 PM UTC 2026
flash-cloud-bench-api-1 65.20% 92.37MiB / 7.38GiB 414MB / 286MB
flash-cloud-bench-redis-1 13.94% 64.07MiB / 7.38GiB 449MB / 396MB
flash-cloud-bench-consumer-1 5.75% 34.77MiB / 7.38GiB 5.92MB / 8.79MB
flash-cloud-bench-publisher-1 2.70% 34.88MiB / 7.38GiB 5.84MB / 8.37MB
flash-cloud-bench-simulator-1 3.73% 35.61MiB / 7.38GiB 8.02MB / 10.1MB
flash-cloud-bench-maintenance-1 13.71% 34.79MiB / 7.38GiB 129MB / 440MB
flash-cloud-bench-pgbouncer-1 6.94% 2.91MiB / 7.38GiB 213MB / 213MB
flash-cloud-bench-postgres-1 22.69% 143.8MiB / 7.38GiB 70.6MB / 146MB
flash-cloud-bench-kafka-1 1.74% 616.3MiB / 7.38GiB 4.04MB / 3.4MB
flash-cloud-bench-prometheus-1 0.37% 91.52MiB / 7.38GiB 1.54MB / 242kB
Tue Sep  8 04:56:16 PM UTC 2026
flash-cloud-bench-api-1 63.00% 94.21MiB / 7.38GiB 463MB / 319MB
flash-cloud-bench-redis-1 8.43% 64.1MiB / 7.38GiB 464MB / 439MB
flash-cloud-bench-consumer-1 13.98% 34.78MiB / 7.38GiB 6.24MB / 9.25MB
flash-cloud-bench-publisher-1 2.59% 34.88MiB / 7.38GiB 6.12MB / 8.77MB
flash-cloud-bench-simulator-1 3.47% 35.61MiB / 7.38GiB 8.4MB / 10.6MB
flash-cloud-bench-maintenance-1 5.74% 34.79MiB / 7.38GiB 133MB / 453MB
flash-cloud-bench-pgbouncer-1 5.18% 2.891MiB / 7.38GiB 222MB / 221MB
flash-cloud-bench-postgres-1 56.14% 146.7MiB / 7.38GiB 74.4MB / 151MB
flash-cloud-bench-kafka-1 1.62% 616.5MiB / 7.38GiB 4.25MB / 3.58MB
flash-cloud-bench-prometheus-1 0.21% 91.52MiB / 7.38GiB 1.63MB / 253kB
Tue Sep  8 04:56:28 PM UTC 2026
flash-cloud-bench-api-1 61.10% 94.73MiB / 7.38GiB 512MB / 352MB
flash-cloud-bench-redis-1 16.20% 64.34MiB / 7.38GiB 490MB / 489MB
flash-cloud-bench-consumer-1 11.22% 34.78MiB / 7.38GiB 6.83MB / 10.1MB
flash-cloud-bench-publisher-1 4.80% 34.89MiB / 7.38GiB 6.55MB / 9.4MB
flash-cloud-bench-simulator-1 3.64% 35.61MiB / 7.38GiB 8.77MB / 11.1MB
flash-cloud-bench-maintenance-1 17.43% 34.79MiB / 7.38GiB 140MB / 475MB
flash-cloud-bench-pgbouncer-1 7.50% 2.895MiB / 7.38GiB 234MB / 233MB
flash-cloud-bench-postgres-1 71.70% 148.5MiB / 7.38GiB 78.8MB / 159MB
flash-cloud-bench-kafka-1 3.62% 617.2MiB / 7.38GiB 4.64MB / 3.91MB
flash-cloud-bench-prometheus-1 0.00% 91.53MiB / 7.38GiB 1.7MB / 262kB
Tue Sep  8 04:56:40 PM UTC 2026
flash-cloud-bench-api-1 67.19% 95.21MiB / 7.38GiB 563MB / 387MB
flash-cloud-bench-redis-1 8.04% 64.3MiB / 7.38GiB 515MB / 539MB
flash-cloud-bench-consumer-1 6.92% 34.79MiB / 7.38GiB 7.44MB / 11MB
flash-cloud-bench-publisher-1 3.63% 34.9MiB / 7.38GiB 6.93MB / 9.96MB
flash-cloud-bench-simulator-1 3.05% 35.61MiB / 7.38GiB 9.15MB / 11.5MB
flash-cloud-bench-maintenance-1 3.65% 34.79MiB / 7.38GiB 146MB / 497MB
flash-cloud-bench-pgbouncer-1 5.16% 2.891MiB / 7.38GiB 246MB / 245MB
flash-cloud-bench-postgres-1 103.74% 149.5MiB / 7.38GiB 83.1MB / 167MB
flash-cloud-bench-kafka-1 3.28% 617.9MiB / 7.38GiB 5.04MB / 4.26MB
flash-cloud-bench-prometheus-1 0.01% 91.53MiB / 7.38GiB 1.77MB / 275kB
Tue Sep  8 04:56:52 PM UTC 2026
flash-cloud-bench-api-1 71.15% 95.53MiB / 7.38GiB 623MB / 426MB
flash-cloud-bench-redis-1 20.55% 64.26MiB / 7.38GiB 544MB / 597MB
flash-cloud-bench-consumer-1 7.94% 34.78MiB / 7.38GiB 8.04MB / 11.9MB
