procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 6  0      0 2478836 107832 3669960    0    0    18   762 5894   24 11  2 87  1  0  0 2026-09-09 20:26:43
 0  0      0 2454824 107832 3670592    0    0     0    98 12076 18109 22  4 75  0  0  0 2026-09-09 20:26:48
 1  0      0 2369708 107832 3670676    0    0     0    91 6850 10251 13  3 84  0  0  0 2026-09-09 20:26:53
 1  0      0 2454888 107832 3670644    0    0     0   754 10672 17289 12  3 83  1  0  0 2026-09-09 20:26:58
 0  0      0 2445064 107832 3670660    0    0     0  1139 12202 19313 16  4 78  2  0  0 2026-09-09 20:27:03
 0  0      0 2429676 107832 3670692    0    0     0  5923 7442 11490 15  4 81  0  0  0 2026-09-09 20:27:08
 1  0      0 2441040 107832 3670704    0    0     0   114 5818 9663  5  2 93  0  0  0 2026-09-09 20:27:13
 2  0      0 2436972 107832 3676396    0    0     0  2002 19246 34083 36  9 54  1  0  0 2026-09-09 20:27:18
 1  0      0 2415692 107832 3682540    0    0     0  2682 25025 44714 37 10 51  2  0  0 2026-09-09 20:27:23
 1  0      0 2406424 107832 3687908    0    0     0  1655 21408 36077 32  9 58  1  0  0 2026-09-09 20:27:28
 0  0      0 2373020 107832 3693212    0    0     0  2439 22460 36935 23  8 68  1  0  0 2026-09-09 20:27:33
 4  0      0 2360204 107832 3698144    0    0     0  2031 23732 40857 32 10 57  2  0  0 2026-09-09 20:27:38
 1  0      0 2359972 107832 3702868    0    0     0  2608 23078 43017 48 11 39  2  0  0 2026-09-09 20:27:43
 3  0      0 2336300 107832 3706940    0    0     0  1782 22732 37565 24  7 68  1  0  0 2026-09-09 20:27:48
 0  0      0 2324496 107832 3710972    0    0     0  1407 21443 35813 31  9 59  1  0  0 2026-09-09 20:27:53
 1  0      0 2324232 107832 3714996    0    0     0  1985 24177 41375 31  9 58  2  0  0 2026-09-09 20:27:58
 0  0      0 2321012 107832 3718708    0    0     0  2519 23985 43968 46 12 39  2  0  0 2026-09-09 20:28:03
 0  0      0 2302024 107832 3722096    0    0     0  8378 22297 36687 24  7 67  1  0  0 2026-09-09 20:28:08
 7  0      0 2273944 107832 3725208    0    0     0  1238 22203 36460 25  8 66  1  0  0 2026-09-09 20:28:13
 3  0      0 2291268 107832 3728812    0    0     0  1998 23263 39683 36  9 53  2  0  0 2026-09-09 20:28:18
 1  0      0 2289092 107832 3731832    0    0     0  2475 26091 45905 38 10 49  2  0  0 2026-09-09 20:28:23
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  0      0 2259044 107832 3734808    0    0     0  2186 21114 35196 32  9 58  1  0  0 2026-09-09 20:28:28
 1  0      0 2257596 107832 3738028    0    0     0  1226 22888 37567 23  8 68  1  0  0 2026-09-09 20:28:33
 2  0      0 2236364 107832 3741124    0    0     0  1665 22314 38888 37 10 51  1  0  0 2026-09-09 20:28:38
 7  0      0 2236056 107832 3743660    0    0     0  2394 26074 45748 38 11 48  3  0  0 2026-09-09 20:28:43
 5  0      0 2191164 107832 3746504    0    0     0  2078 21947 37133 27  9 63  1  0  0 2026-09-09 20:28:48
 1  1      0 2225068 107832 3748928    0    0     0  1355 21181 34697 28  7 64  1  0  0 2026-09-09 20:28:53
 2  1      0 2214656 107832 3751624    0    0     0  1606 23920 40227 28  8 62  2  0  0 2026-09-09 20:28:58
 2  0      0 2175048 107832 3754384    0    0     0  2681 24021 44560 48 13 38  2  0  0 2026-09-09 20:29:03
 1  0      0 2198564 107832 3756872    0    0     0  8635 21462 35055 24  7 68  1  0  0 2026-09-09 20:29:08
 2  0      0 2173212 107832 3759332    0    0     0  2352 21875 37059 33  9 57  1  0  0 2026-09-09 20:29:13
 3  0      0 2171212 107832 3762072    0    0     0  2965 21923 38482 43  9 46  2  0  0 2026-09-09 20:29:18
11  0      0 2128580 107832 3764616    0    0     0  3823 20685 43420 65 13 21  2  0  0 2026-09-09 20:29:23
 1  0      0 2127388 107832 3767840    0    0     0  3419 19517 35625 55  9 34  1  0  0 2026-09-09 20:29:28
 3  0      0 2107008 107832 3770436    0    0     0  2769 21798 37739 46  8 44  2  0  0 2026-09-09 20:29:33
 2  0      0 2108276 107832 3773200    0    0     0  2760 20205 37810 57 11 30  2  0  0 2026-09-09 20:29:38
 1  0      0 2101876 107832 3778012    0    0     0  3495 21103 41882 62 12 24  3  0  0 2026-09-09 20:29:43
 2  0      0 2072692 107832 3780416    0    0     0  3183 19716 36467 55 11 32  2  0  0 2026-09-09 20:29:48
 1  0      0 2077332 107832 3782720    0    0     0  2719 21399 36971 45  9 45  2  0  0 2026-09-09 20:29:53
 5  0      0 2044084 107832 3784944    0    0     0  2662 21865 39548 50 10 38  2  0  0 2026-09-09 20:29:59
 6  0      0 2032376 107832 3787296    0    0     0  2929 19419 39689 68 12 18  2  0  0 2026-09-09 20:30:04
 2  0      0 2034780 107832 3789600    0    0     0  8374 21799 38409 48 10 41  2  0  0 2026-09-09 20:30:09
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  0      0 2031908 107832 3791772    0    0     0  2858 20535 36994 52 10 36  1  0  0 2026-09-09 20:30:14
 3  0      0 2028228 107832 3793928    0    0     0  2812 21947 39186 49  9 40  2  0  0 2026-09-09 20:30:19
12  0      0 1977656 107832 3795952    0    0     0  3079 20950 42163 62 13 24  2  0  0 2026-09-09 20:30:24
 5  0      0 2034072 107832 3798128    0    0     0  2422 20922 37600 53  9 36  2  0  0 2026-09-09 20:30:29
 2  0      0 2033524 107832 3800324    0    0     0  2143 21765 37268 44  9 45  2  0  0 2026-09-09 20:30:34
 4  0      0 2014612 107832 3802496    0    0     0  2336 20456 38644 57 11 31  2  0  0 2026-09-09 20:30:39
 3  0      0 2032008 107832 3806384    0    0     0  3682 21059 41438 61 11 26  2  0  0 2026-09-09 20:30:44
 7  0      0 2014752 107832 3808448    0    0     0  2969 20983 39836 58 11 29  2  0  0 2026-09-09 20:30:49
 4  0      0 2020916 107832 3810152    0    0     0  2355 22127 37458 42  8 47  2  0  0 2026-09-09 20:30:54
 5  0      0 1981900 107832 3812296    0    0     0  2320 21682 39385 49 11 38  2  0  0 2026-09-09 20:30:59
 7  0      0 2021936 107832 3814396    0    0     0  2758 20119 40313 66 12 21  2  0  0 2026-09-09 20:31:04
 1  0      0 2023920 107832 3816252    0    0     0  3004 21959 39082 49  9 41  2  0  0 2026-09-09 20:31:09
 1  0      0 2028944 107832 3818280    0    0     0  7798 19598 35687 55 10 33  1  0  0 2026-09-09 20:31:14
 2  0      0 2023604 107832 3820244    0    0     0  2362 22430 39859 48  9 40  2  0  0 2026-09-09 20:31:19
 4  1      0 1951540 107832 3822140    0    0     0  2698 20389 41249 64 12 22  2  0  0 2026-09-09 20:31:24
 3  0      0 2015404 107832 3824144    0    0     0  3115 21991 39951 51  9 38  2  0  0 2026-09-09 20:31:29
 1  0      0 2010212 107832 3826020    0    0     0  2074 22067 37763 45  9 45  2  0  0 2026-09-09 20:31:34
 2  0      0 2018960 107832 3827864    0    0     0  2254 20514 38635 57 11 31  2  0  0 2026-09-09 20:31:39
 5  0      0 1993032 107832 3831948    0    0     0  2800 21243 41574 59 11 27  2  0  0 2026-09-09 20:31:44
 2  0      0 1988520 107832 3834012    0    0     0  3179 20628 39250 59 11 29  2  0  0 2026-09-09 20:31:49
 2  0      0 1993260 107832 3835892    0    0     0  2049 21805 37449 44  9 46  2  0  0 2026-09-09 20:31:54
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 8  1      0 1953424 107832 3837712    0    0     0  2086 21427 38507 51 10 38  2  0  0 2026-09-09 20:31:59
 3  0      0 1999024 107832 3839764    0    0     0  2802 20612 41586 63 11 24  2  0  0 2026-09-09 20:32:04
 4  0      0 1987092 107836 3841572    0    0     0  2634 22305 39660 48 10 40  2  0  0 2026-09-09 20:32:09
 1  1      0 1991052 107836 3843668    0    0     0  8832 20321 37055 53 10 35  2  0  0 2026-09-09 20:32:14
 2  0      0 1987192 107836 3844256    0    0     0  2006 15524 25749 35  6 57  2  0  0 2026-09-09 20:32:19
 3  0      0 1981996 107836 3844476    0    0     0  2602 16812 29025 50  8 39  3  0  0 2026-09-09 20:32:24
 1  0      0 1994400 107836 3844740    0    0     0  2189 13520 22093 33  5 60  2  0  0 2026-09-09 20:32:29
 3  0      0 1956532 107836 3845152    0    0     0  1450 12055 19492 34  5 59  1  0  0 2026-09-09 20:32:34
 4  0      0 1963112 107836 3845568    0    0     0  1504 12658 21086 42  5 51  2  0  0 2026-09-09 20:32:39
 1  0      0 1984608 107836 3845868    0    0     0  2484 16791 27210 40  7 50  3  0  0 2026-09-09 20:32:44
 1  0      0 1976000 107836 3846052    0    0     0  1820 12946 21419 41  6 51  2  0  0 2026-09-09 20:32:49
 1  0      0 1989980 107836 3846292    0    0     0  1319 10140 15871 27  3 68  2  0  0 2026-09-09 20:32:54
 2  0      0 1990608 107836 3846560    0    0     0  1502 11509 18168 38  6 55  2  0  0 2026-09-09 20:32:59
11  0      0 1987740 107836 3847216    0    0     0  2387 18047 32208 46  8 44  3  0  0 2026-09-09 20:33:04
 4  0      0 1948476 107836 3849652    0    0     0  2836 23611 46559 57 12 29  2  0  0 2026-09-09 20:33:09
 3  0      0 1968256 107836 3852084    0    0    26  7799 23777 44705 56 11 32  2  0  0 2026-09-09 20:33:14
 2  0      0 1979376 107836 3854276    0    0     0  2468 25510 46806 50 10 38  2  0  0 2026-09-09 20:33:19
 2  0      0 1951064 107836 3856560    0    0     0  3518 21591 46456 68 13 17  2  0  0 2026-09-09 20:33:24
 6  0      0 1957420 107836 3858780    0    0     0  2798 24842 47339 53 11 34  2  0  0 2026-09-09 20:33:29
 3  0      0 1955268 107836 3810796    0    0     0  2547 23525 43787 55 10 33  1  0  0 2026-09-09 20:33:34
 1  0      0 2004860 107836 3812908    0    0     0  2190 25667 48306 51 10 37  2  0  0 2026-09-09 20:33:39
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  1      0 1993216 107836 3817180    0    0     0  3495 23491 47669 61 12 25  2  0  0 2026-09-09 20:33:44
 0  1      0 1983328 107836 3819520    0    0     0  2647 22523 45119 63 12 24  1  0  0 2026-09-09 20:33:49
 4  0      0 1983840 107836 3821748    0    0     0  1853 25858 46721 47 10 41  2  0  0 2026-09-09 20:33:54
 1  0      0 1986764 107836 3823792    0    0     0  1962 22617 43815 59 12 28  1  0  0 2026-09-09 20:33:59
 2  1      0 1980308 107836 3826212    0    0     0  4036 23704 48939 61 12 25  2  0  0 2026-09-09 20:34:04
 5  0      0 1937396 107836 3828360    0    0     0  4422 23465 46474 58 12 28  2  0  0 2026-09-09 20:34:09
 3  0      0 1921888 107836 3830532    0    0     0  9051 23250 43327 57 10 31  1  0  0 2026-09-09 20:34:14
 2  1      0 1964408 107836 3832516    0    0     0  3899 31962 57784 42 12 43  3  0  0 2026-09-09 20:34:19
 4  0      0 1954140 107836 3834588    0    0     0  4267 26828 50893 49 14 35  2  0  0 2026-09-09 20:34:24
 3  0      0 1961552 107836 3836528    0    0     0  3105 28934 50964 35 10 53  2  0  0 2026-09-09 20:34:29
 1  0      0 1965068 107836 3838572    0    0     0  2095 25811 45022 36 10 52  1  0  0 2026-09-09 20:34:34
14  0      0 1955620 107836 3840584    0    0     0  2085 27965 47700 28  9 62  1  0  0 2026-09-09 20:34:39
 7  0      0 1909588 107836 3844712    0    0     0  3068 28234 51851 43 12 43  2  0  0 2026-09-09 20:34:44
 1  0      0 1949072 107836 3846732    0    0     0  3391 26559 49572 45 11 42  1  0  0 2026-09-09 20:34:49
 1  0      0 1937052 107836 3848848    0    0     0  1831 27732 46473 26  8 64  1  0  0 2026-09-09 20:34:54
 2  0      0 1935308 107836 3850916    0    0     0  2394 26431 46394 38 11 50  1  0  0 2026-09-09 20:34:59
10  0      0 1953360 107836 3852888    0    0     0  2765 27888 51482 44 11 43  2  0  0 2026-09-09 20:35:04
 2  0      0 1926800 107836 3855084    0    0     0  2765 20675 42024 63 11 24  2  0  0 2026-09-09 20:35:09
 4  0      0 1921772 107836 3857480    0    0     0  7926 22650 41601 51  9 39  1  0  0 2026-09-09 20:35:14
 5  0      0 1931052 107836 3859664    0    0     0  3786 22716 41628 50  9 39  1  0  0 2026-09-09 20:35:19
 5  0      0 1930320 107836 3861876    0    0     0  3043 20306 44159 69 12 17  2  0  0 2026-09-09 20:35:24
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  0      0 1928164 107836 3863996    0    0     0  2617 22953 45537 59 10 29  2  0  0 2026-09-09 20:35:29
 2  0      0 1933388 107836 3866068    0    0     0  2242 21006 39984 60 10 29  1  0  0 2026-09-09 20:35:34
 3  0      0 1908444 107836 3867984    0    0     0  3387 22369 41341 51  9 38  1  0  0 2026-09-09 20:35:39
17  0      0 1855104 107836 3869884    0    0     0  2833 21194 43319 65 12 21  2  0  0 2026-09-09 20:35:44
 2  0      0 1917888 107836 3872140    0    0    22  2584 22170 44024 62 11 26  2  0  0 2026-09-09 20:35:49
 4  0      0 1911660 107836 3874200    0    0     0  2124 23025 41440 50  9 40  1  0  0 2026-09-09 20:35:54
 2  1      0 1898540 107836 3876192    0    0     0  3190 21435 40344 58 10 31  1  0  0 2026-09-09 20:35:59
 3  1      0 1910932 107836 3878112    0    0     0  2774 22383 45940 62 11 25  2  0  0 2026-09-09 20:36:04
 1  0      0 1893404 107836 3880092    0    0     0  2607 20272 42606 68 12 19  1  0  0 2026-09-09 20:36:09
 3  0      0 1898236 107836 3881976    0    0     0  1824 22336 40867 51  9 39  1  0  0 2026-09-09 20:36:14
 2  1      0 1889216 107836 3883932    0    0     0  8874 22115 40647 52  9 38  1  0  0 2026-09-09 20:36:19
 1  0      0 1905052 107836 3885896    0    0     0  2754 20805 43801 68 11 19  2  0  0 2026-09-09 20:36:24
 3  0      0 1920828 107836 3887752    0    0     0  2668 22601 45655 61 11 27  2  0  0 2026-09-09 20:36:29
 1  0      0 1902572 107836 3889832    0    0     0  1994 21564 39942 57 10 32  1  0  0 2026-09-09 20:36:34
 4  0      0 1901596 107836 3891784    0    0     0  2986 22923 41548 50  9 40  1  0  0 2026-09-09 20:36:39
 7  0      0 1842804 107836 3893712    0    0     0  2527 21117 43219 67 12 20  1  0  0 2026-09-09 20:36:44
 3  0      0 1885532 107836 3895792    0    0     0  2626 21044 43913 66 11 22  2  0  0 2026-09-09 20:36:49
 4  0      0 1898904 107836 3897716    0    0     0  1868 23530 41997 49  9 41  1  0  0 2026-09-09 20:36:54
 4  0      0 1903716 107836 3899572    0    0     0  3168 21528 40536 57 10 32  1  0  0 2026-09-09 20:36:59
 8  0      0 1903060 107836 3901508    0    0     0  2892 21940 45126 61 11 26  2  0  0 2026-09-09 20:37:04
 2  0      0 1899048 107836 3903584    0    0     0  2503 20192 43059 68 12 18  1  0  0 2026-09-09 20:37:09
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 3  0      0 1896948 107836 3905628    0    0     0  1943 22996 40994 50  9 41  1  0  0 2026-09-09 20:37:14
 8  0      0 1873840 107836 3907516    0    0     0  8719 22391 41556 52 10 37  1  0  0 2026-09-09 20:37:19
 5  0      0 1890504 107836 3909280    0    0     0  2724 20334 43533 68 12 19  1  0  0 2026-09-09 20:37:24
 2  0      0 1894612 107836 3911476    0    0     0  2584 22533 45320 61 11 27  2  0  0 2026-09-09 20:37:29
 6  0      0 1874320 107836 3913368    0    0     0  1727 21595 40205 57 10 31  1  0  0 2026-09-09 20:37:34
 5  0      0 1885420 107836 3915320    0    0     0  3089 22928 41741 51  9 39  1  0  0 2026-09-09 20:37:39
 4  1      0 1832732 107836 3917316    0    0     0  5854 20801 43514 66 12 21  2  0  0 2026-09-09 20:37:44
 3  0      0 1871960 107836 3919240    0    0     0  3026 21227 43699 64 11 22  2  0  0 2026-09-09 20:37:49
 6  0      0 1874312 107836 3921104    0    0     0  2071 23509 42427 50  9 40  1  0  0 2026-09-09 20:37:54
 5  0      0 1850868 107836 3923136    0    0     0  5514 21174 39397 57 10 31  1  0  0 2026-09-09 20:37:59
 2  0      0 1869748 107836 3924624    0    0     0  4026 20447 39891 56 10 32  2  0  0 2026-09-09 20:38:04
 2  0      0 1860168 107836 3924840    0    0     0  2044 13422 22322 49  7 42  2  0  0 2026-09-09 20:38:09
 1  0      0 1868528 107836 3925004    0    0     0  1708 8829 13203 29  3 66  2  0  0 2026-09-09 20:38:14
 7  0      0 1828364 107836 3925320    0    0     0  7326 9966 15523 39  5 55  1  0  0 2026-09-09 20:38:19
 1  1      0 1876076 107840 3925456    0    0     0  2251 13812 21807 44  5 48  2  0  0 2026-09-09 20:38:24
 1  0      0 1853736 107840 3925688    0    0     0  2086 14218 23370 41  6 51  3  0  0 2026-09-09 20:38:29
 1  0      0 1895628 107840 3909484    0    0     0  1504 9605 14558 39  5 54  1  0  0 2026-09-09 20:38:34
 1  0      0 1904252 107840 3909564    0    0     0   964 8952 13340 31  3 64  1  0  0 2026-09-09 20:38:39
 2  0      0 1882028 107840 3909892    0    0     0  1726 13512 22680 50  7 41  2  0  0 2026-09-09 20:38:44
 1  0      0 1882708 107840 3910100    0    0     0  1988 14040 22526 41  6 51  2  0  0 2026-09-09 20:38:49
 5  0      0 1822584 107840 3910312    0    0     0  1006 9827 15061 39  5 55  1  0  0 2026-09-09 20:38:54
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  0      0 1889652 107840 3910476    0    0     0  1046 9131 13766 32  3 63  1  0  0 2026-09-09 20:38:59
 2  0      0 1873772 107844 3910680    0    0     0  2234 14361 23111 42  5 51  2  0  0 2026-09-09 20:39:04
 1  0      0 1865984 107844 3910884    0    0     0  2688 13138 21971 50  7 41  2  0  0 2026-09-09 20:39:09
 1  0      0 1851644 107844 3914940    0    0     0  1890 9040 13784 35  4 60  1  0  0 2026-09-09 20:39:14
 1  0      0 1859400 107844 3915148    0    0     0  7591 10071 15526 41  5 53  1  0  0 2026-09-09 20:39:19
 1  0      0 1867976 107844 3915316    0    0     0  3083 13930 21944 41  6 51  2  0  0 2026-09-09 20:39:24
 3  0      0 1781760 107844 3915580    0    0     0  2699 14528 23826 50  7 41  2  0  0 2026-09-09 20:39:29
 3  0      0 1848640 107844 3915712    0    0     0  1702 8702 12922 30  3 66  1  0  0 2026-09-09 20:39:34
 1  0      0 1866800 107844 3915932    0    0     0  1928 8805 13210 30  3 65  1  0  0 2026-09-09 20:39:39
 5  0      0 1861476 107844 3916168    0    0     0  2425 13613 22859 49  7 42  2  0  0 2026-09-09 20:39:44
 1  0      0 1871288 107844 3916364    0    0     0  3338 13606 21478 41  5 51  2  0  0 2026-09-09 20:39:49
 2  0      0 1807448 107844 3917096    0    0     0  2177 10091 15429 54  6 39  1  0  0 2026-09-09 20:39:54
 2  0      0 1762352 107844 3967276    0    0     0  2249 10749 19986 61  7 30  1  0  0 2026-09-09 20:39:59
 5  0      0 1732104 107848 3967476    0    0     0 11219 11256 19304 72  7 19  2  0  0 2026-09-09 20:40:04
 1  0      0 1736804 107848 4029480    0    0     0  5082 22350 46791 52 14 30  4  0  0 2026-09-09 20:40:09
 0  0      0 1740248 107848 4029540    0    0     0   833 7468 12434  7  3 90  1  0  0 2026-09-09 20:40:14
 0  0      0 1715544 107848 4029608    0    0     0  6434 7445 11220 15  4 81  0  0  0 2026-09-09 20:40:19
 0  0      0 1740704 107848 4029600    0    0     0 11191 10938 17313 14  4 80  1  0  0 2026-09-09 20:40:24
 0  0      0 1736696 107848 4029620    0    0     0  3612 11780 19386 24  6 69  1  0  0 2026-09-09 20:40:29
 0  0      0 1726004 107848 4029660    0    0     0   481 5499 8923  5  2 93  0  0  0 2026-09-09 20:40:34
 0  0      0 1679980 107848 4029712    0    0     0   529 6434 9389 13  3 83  0  0  0 2026-09-09 20:40:39
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 0  0      0 1737484 107848 4029704    0    0     0  4582 12153 19292 20  5 73  1  0  0 2026-09-09 20:40:44
 0  0      0 1747544 107848 4029700    0    0     0  1500 12422 19388 15  4 79  2  0  0 2026-09-09 20:40:49
 0  0      0 1722724 107848 4030112    0    0     0   544 13678 19688 28  5 67  0  0  0 2026-09-09 20:40:54
 1  0      0 1724292 107848 4030120    0    0     0   492 5390 8836  4  2 94  0  0  0 2026-09-09 20:40:59
 0  0      0 1747204 107848 4030148    0    0     0  1329 12224 18821 22  5 71  2  0  0 2026-09-09 20:41:04
 0  0      0 1746268 107848 4030152    0    0     0  1327 12406 19925 16  4 79  2  0  0 2026-09-09 20:41:09
 0  0      0 1736136 107848 4030156    0    0     0   275 7318 10688 13  3 83  0  0  0 2026-09-09 20:41:14
 1  0      0 1732332 107848 4030564    0    0     0   256 6419 10714  5  2 93  0  0  0 2026-09-09 20:41:19
