procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 6  0      0 3493876 107780 2868552    0    0    19   688 5491   22 10  2 88  0  0  0 2026-09-09 19:40:13
 1  0      0 3439484 107780 2869236    0    0     0  1227 17405 27910 34  7 58  2  0  0 2026-09-09 19:40:18
 0  0      0 3426452 107780 2869292    0    0     0   690 10128 15938 20  5 74  1  0  0 2026-09-09 19:40:23
 0  0      0 3431172 107780 2869308    0    0     0    95 6265 10589  5  2 93  0  0  0 2026-09-09 19:40:28
 0  0      0 3399216 107780 2869428    0    0     0  5893 7530 11070 15  4 81  0  0  0 2026-09-09 19:40:33
 1  0      0 3433896 107780 2869500    0    0     0  1201 12838 20530 18  5 76  2  0  0 2026-09-09 19:40:38
 2  0      0 3383168 107780 2869544    0    0     0   757 11030 16563 19  5 75  1  0  0 2026-09-09 19:40:43
 2  0      0 3406556 107784 2874384    0    0     0  1353 18283 31276 19  6 75  1  0  0 2026-09-09 19:40:48
 1  0      0 3411396 107784 2879552    0    0     0  1469 22436 38856 21  7 71  1  0  0 2026-09-09 19:40:53
 1  1      0 3392128 107784 2884396    0    0     0  2337 24426 43730 41 11 46  2  0  0 2026-09-09 19:40:58
 1  0      0 3380676 107784 2888700    0    0     0  1968 24494 43019 29  8 60  2  0  0 2026-09-09 19:41:03
 4  0      0 3343096 107784 2895224    0    0     0  1378 20633 36071 34  8 57  1  0  0 2026-09-09 19:41:08
 5  0      0 3347932 107784 2899080    0    0     0  1311 22003 37376 22  7 71  1  0  0 2026-09-09 19:41:13
 3  1      0 3269900 107784 2902688    0    0     0  3511 23687 43722 41 10 47  2  0  0 2026-09-09 19:41:18
 2  0      0 3299660 107784 2906324    0    0     0  2109 25155 44047 30  9 59  2  0  0 2026-09-09 19:41:23
 3  0      0 3307080 107784 2909596    0    0     0  1208 23081 39507 21  7 71  1  0  0 2026-09-09 19:41:28
 1  0      0 3294004 107784 2912772    0    0     0  6950 20896 36227 31  8 59  1  0  0 2026-09-09 19:41:33
 7  0      0 3285600 107784 2915804    0    0     0  1974 25240 44531 32  9 57  2  0  0 2026-09-09 19:41:38
 0  0      0 3269296 107784 2918720    0    0     0  2863 22961 41900 39 10 49  2  0  0 2026-09-09 19:41:43
 0  0      0 3281100 107784 2921348    0    0     0  1570 22139 37504 21  6 72  1  0  0 2026-09-09 19:41:48
 0  0      0 3264540 107784 2924016    0    0     0  1206 22213 38446 30  9 61  1  0  0 2026-09-09 19:41:53
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 1  0      0 3274660 107784 2926564    0    0     0  1981 24628 42941 30  9 59  2  0  0 2026-09-09 19:41:58
 2  0      0 3253676 107784 2928984    0    0     0  1971 25901 45581 31  9 57  2  0  0 2026-09-09 19:42:03
 1  0      0 3252060 107784 2933256    0    0     0  1030 21624 36975 29  8 62  1  0  0 2026-09-09 19:42:08
 2  0      0 3238584 107784 2935436    0    0     0  1072 22157 37672 21  7 72  1  0  0 2026-09-09 19:42:13
 1  0      0 3223216 107784 2937880    0    0     0  1904 23045 42519 41 10 47  2  0  0 2026-09-09 19:42:18
 1  0      0 3217732 107784 2939944    0    0     0  3143 25313 44171 31  9 58  2  0  0 2026-09-09 19:42:23
 0  0      0 3216676 107784 2942024    0    0     0   995 21541 37604 30  8 61  1  0  0 2026-09-09 19:42:28
 0  0      0 3209576 107784 2943968    0    0     0  6838 21853 37510 24  7 67  1  0  0 2026-09-09 19:42:33
 6  0      0 3206052 107784 2946104    0    0     0  1810 24397 42858 31 10 58  2  0  0 2026-09-09 19:42:38
 0  0      0 3236232 107784 2947860    0    0     0  1859 23823 43560 39 10 49  2  0  0 2026-09-09 19:42:43
 2  0      0 3222712 107784 2950408    0    0     0  2527 22581 38930 35  7 56  2  0  0 2026-09-09 19:42:48
 2  0      0 3187072 107784 2952672    0    0     0  2198 20893 38146 50  9 39  2  0  0 2026-09-09 19:42:53
 1  0      0 3203184 107784 2954896    0    0     0  2412 23129 42916 49 10 38  2  0  0 2026-09-09 19:42:58
 5  0      0 3167876 107784 2957020    0    0     0  2507 21180 41915 61 11 26  2  0  0 2026-09-09 19:43:03
 2  0      0 3154900 107784 2959060    0    0     0  1858 22311 39423 43  8 47  2  0  0 2026-09-09 19:43:08
 2  0      0 3143584 107784 2961036    0    0     0  1685 21751 38746 45  9 45  2  0  0 2026-09-09 19:43:13
 1  1      0 3134360 107784 2963216    0    0     0  2562 20881 41081 60 12 26  2  0  0 2026-09-09 19:43:18
 1  0      0 3126708 107784 2965272    0    0     0  3776 23096 43417 51 10 36  2  0  0 2026-09-09 19:43:23
 1  0      0 3087104 107784 2967464    0    0     0  2191 20384 37679 52 10 37  2  0  0 2026-09-09 19:43:28
 1  0      0 3098852 107784 2969416    0    0     0  8762 22025 38433 42  8 49  2  0  0 2026-09-09 19:43:33
 2  0      0 3058008 107784 2971216    0    0     0  3277 20448 39322 56 11 31  2  0  0 2026-09-09 19:43:38
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 2  0      0 3105524 107784 2972896    0    0     0  4494 23370 45460 54 11 32  3  0  0 2026-09-09 19:43:43
 1  0      0 3101004 107784 2974596    0    0     0  2662 21710 38140 42  8 49  2  0  0 2026-09-09 19:43:48
 0  1      0 3096052 107784 2976292    0    0     0  2482 20704 37923 50 10 38  2  0  0 2026-09-09 19:43:53
 2  0      0 3093216 107784 2978232    0    0     0  2966 22589 41907 49 10 39  2  0  0 2026-09-09 19:43:58
 2  0      0 3113904 107784 2979948    0    0     0  4058 21208 41872 61 12 24  2  0  0 2026-09-09 19:44:03
 2  0      0 3092716 107784 2981616    0    0     0  2418 23332 41189 40  8 49  2  0  0 2026-09-09 19:44:08
 3  0      0 3049716 107784 2983368    0    0     0  2146 21144 37376 46  9 44  2  0  0 2026-09-09 19:44:13
 3  0      0 3080716 107784 2984944    0    0     0  2789 23066 43390 51 10 37  2  0  0 2026-09-09 19:44:18
 6  0      0 3091236 107784 2986620    0    0     0  4126 23712 44837 53 11 33  3  0  0 2026-09-09 19:44:23
 9  0      0 3088116 107784 2988420    0    0     0  2106 21136 38102 50  9 39  2  0  0 2026-09-09 19:44:28
 1  1      0 3076296 107784 2990228    0    0     0  7869 22001 38449 42  8 48  2  0  0 2026-09-09 19:44:33
 3  0      0 3078324 107784 2991744    0    0     0  2540 20788 39835 55 11 32  2  0  0 2026-09-09 19:44:38
 3  0      0 3083204 107784 2993288    0    0     0  3171 23332 45353 54 11 33  3  0  0 2026-09-09 19:44:43
 5  0      0 3048292 107784 2994960    0    0     0  2740 21573 38314 44  9 45  2  0  0 2026-09-09 19:44:48
 2  0      0 3079144 107784 2996716    0    0     0  2521 21653 38617 46  8 44  2  0  0 2026-09-09 19:44:53
 3  0      0 3082196 107784 2998364    0    0     0  2721 23236 42324 47 10 40  3  0  0 2026-09-09 19:44:58
 1  1      0 3070860 107784 3000000    0    0     0  3089 21051 42028 63 12 24  2  0  0 2026-09-09 19:45:03
 5  0      0 3035248 107784 3003552    0    0     0  2036 21686 39183 45  9 44  2  0  0 2026-09-09 19:45:08
 1  0      0 3040972 107784 3005324    0    0     0  2914 20556 37305 51 10 37  1  0  0 2026-09-09 19:45:13
 1  1      0 3051688 107784 3006900    0    0     0  2465 23405 43229 48  9 41  2  0  0 2026-09-09 19:45:18
 4  0      0 3033956 107784 3008572    0    0    14  3113 23361 45024 55 12 30  3  0  0 2026-09-09 19:45:23
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 5  1      0 3063572 107784 3010200    0    0    15  1988 21548 38537 47  8 43  2  0  0 2026-09-09 19:45:28
 1  0      0 3060296 107784 3011912    0    0    20  1982 22476 39450 40  8 51  2  0  0 2026-09-09 19:45:33
 2  1      0 3043872 107784 3013572    0    0     0  9048 21272 39877 57 11 30  2  0  0 2026-09-09 19:45:38
 4  0      0 3044076 107784 3015208    0    0     0  3478 24184 46477 55 11 32  3  0  0 2026-09-09 19:45:43
 1  0      0 3055656 107784 3016836    0    0     0  1945 20736 37406 49  9 41  2  0  0 2026-09-09 19:45:48
 1  0      0 3043392 107784 3018380    0    0     0  1905 21940 38941 40  8 50  2  0  0 2026-09-09 19:45:53
 3  0      0 3034700 107784 3020032    0    0     0  2452 23589 43151 47 10 40  2  0  0 2026-09-09 19:45:58
 1  0      0 3039000 107784 3021540    0    0     0  3150 21181 42134 63 11 24  2  0  0 2026-09-09 19:46:03
 1  0      0 3039956 107784 3023100    0    0     0  2086 22784 40068 41  8 49  2  0  0 2026-09-09 19:46:08
 0  1      0 3039840 107784 3024672    0    0     0  1873 20918 37570 48  9 41  2  0  0 2026-09-09 19:46:13
 2  0      0 3035896 107784 3026140    0    0     0  3550 23082 42369 47 10 41  2  0  0 2026-09-09 19:46:18
 8  0      0 2968692 107784 3027672    0    0     0  2897 20994 41569 61 11 25  2  0  0 2026-09-09 19:46:23
 0  0      0 3031456 107784 3029268    0    0     0  2234 22938 40638 42  8 48  2  0  0 2026-09-09 19:46:28
 0  1      0 3037684 107784 3030780    0    0     0  1818 22822 39998 41  8 49  2  0  0 2026-09-09 19:46:33
 4  0      0 3035136 107784 3032276    0    0     0  9073 20953 39838 56 11 31  2  0  0 2026-09-09 19:46:38
 5  0      0 3019908 107784 3033828    0    0     0  3062 24368 46420 53 11 33  3  0  0 2026-09-09 19:46:43
 3  0      0 3016852 107784 3035524    0    0    15  1899 20947 38164 51 10 38  2  0  0 2026-09-09 19:46:48
 1  1      0 3018972 107784 3037064    0    0     0  1767 22842 40138 41  8 50  2  0  0 2026-09-09 19:46:53
 5  1      0 2979004 107784 3038628    0    0     0  3023 21397 40319 53 10 35  2  0  0 2026-09-09 19:46:58
